,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI
0,1306.525,0.3900894382,5922.52756725869,6.521484331474039,70.420992,30.0,1993.92791688,11.850475,444.5,121.8711979716,1283.159232,62.09
1,1306.537,0.3900894382,5922.52756725869,6.521484331474039,70.420992,30.0,1993.92791688,11.850475,444.5,121.8711979716,1283.159232,62.09
2,1306.982,0.8391458845,6046.63319853572,7.98576771567195,69.23532,30.0,1993.92791688,11.850475,444.5,122.7194157035,1283.589,73.36
3,1307.135,2.6761949830000002,5999.67990136924,7.443440536339389,91.61983199999999,30.0,1993.92791688,11.850475,444.5,120.55578009860001,1283.732256,76.33
4,1307.312,6.164320308300001,5960.58662751698,6.996020613390031,98.0694,30.0,1993.92791688,11.850475,444.5,119.7710652985,1283.8755119999998,62.09
5,1307.44,2.4766143402000003,5977.685625604039,7.999325895155259,80.33004,30.31,1993.92791688,11.850475,444.5,119.9842537124,1284.018768,62.09
6,1307.5919999999999,2.0184860465,6015.33100042474,10.2093091509354,68.83603199999999,31.0,1993.92791688,11.850475,444.5,120.7054655807,1284.162024,62.09
7,1307.744,2.4675424928,5980.6503712401,10.5211472790517,76.285344,30.31,1993.92791688,11.850475,444.5,120.2428013633,1284.30528,64.82
8,1307.897,1.6238606846,5965.2061149034,10.6567290738848,84.935568,30.0,1993.92791688,11.850475,444.5,121.1409142559,1284.4485359999999,51.76
9,1308.049,1.4106722707,6138.33347053486,10.8329854071679,87.39530400000001,30.0,1993.92791688,11.850475,444.5,121.5219318467,1284.591792,44.63
10,1308.083,1.4106722707,6138.33347053486,10.8329854071679,87.39530400000001,30.0,1993.92791688,11.850475,444.5,121.5219318467,1284.591792,44.63
