,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI
0,1400.55,5.82257973441067,16523.3548006509,12.1481288170494,19.961351999999998,99.93,3544.77335916,1.4299999943260402,311.15,119.73507591908701,1367.0188560000001,126.46
1,1400.5770000000002,5.82257973441067,17590.3184917687,12.704014175865199,19.988784,99.0,3794.4969888000005,1.4299999943260402,311.15,119.73507591908701,1367.156016,155.01
2,1400.605,5.82257973441067,17590.3184917687,12.704014175865199,19.988784,99.0,3794.4969888000005,1.4299999943260402,311.15,119.73507591908701,1367.156016,155.01
3,1400.66,5.82257973441067,17590.3184917687,12.704014175865199,19.988784,99.0,3794.4969888000005,1.4299999943260402,311.15,119.73507591908701,1367.156016,155.01
4,1400.6870000000001,5.82257973441067,17590.3184917687,12.704014175865199,19.988784,99.0,3794.4969888000005,1.4299999943260402,311.15,119.73507591908701,1367.156016,155.01
5,1400.7079999999999,5.82257973441067,20016.7214783805,12.8260377912151,19.991832000000002,99.09,3987.85583376,1.4299999943260402,311.15,119.73507591908701,1367.293176,148.41
6,1400.797,5.82257973441067,20016.7214783805,12.8260377912151,19.991832000000002,99.09,3987.85583376,1.4299999943260402,311.15,119.73507591908701,1367.293176,148.41
7,1400.91,5.82257973441067,19411.154945321498,12.283710611882501,19.985736,99.55,3794.4969888000005,1.4299999943260402,311.15,119.73507591908701,1367.430336,138.79
8,1401.019,1.42760260591025,17083.691725866698,11.605801637716802,19.982688,100.0,3665.225169,1.4299999943260402,311.15,121.733718660177,1367.5674960000001,132.55
9,1401.047,1.42760260591025,17083.691725866698,11.605801637716802,19.982688,100.0,3665.225169,1.4299999943260402,311.15,121.733718660177,1367.5674960000001,132.55
